open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-03-31 00:00:00,66797.38,67303.33,66544.51,67208.75,658.94529,2026-03-31 00:59:59.999,44099695.9580205,191088,393.59593,26337297.1846273,0
2026-03-31 01:00:00,67208.74,68408.37,67050.0,67938.54,1458.05548,2026-03-31 01:59:59.999,99050575.1001929,292849,873.1389,59302635.7780983,0
2026-03-31 02:00:00,67938.05,68096.87,67775.18,67943.43,435.18783,2026-03-31 02:59:59.999,29578428.1853737,128083,208.78517,14193436.6979327,0
2026-03-31 03:00:00,67943.43,68009.99,67648.2,67704.74,387.87365,2026-03-31 03:59:59.999,26289906.1824811,105922,146.71679,9947468.1942758,0
2026-03-31 04:00:00,67704.74,67979.38,67405.89,67544.01,1149.88888,2026-03-31 04:59:59.999,77791058.6014799,123939,414.63081,28072242.5628493,0
2026-03-31 05:00:00,67544.01,67780.34,67400.0,67681.68,653.43122,2026-03-31 05:59:59.999,44182442.3272217,133582,376.73227,25475279.7217283,0
2026-03-31 06:00:00,67681.69,67711.02,67333.33,67492.85,511.27605,2026-03-31 06:59:59.999,34498903.0179359,121493,217.23934,14658196.1588734,0
2026-03-31 07:00:00,67492.86,67524.65,67103.32,67367.69,1579.98188,2026-03-31 07:59:59.999,106359970.3788738,145622,605.41659,40752722.8381393,0
2026-03-31 08:00:00,67367.7,67496.0,66688.68,66778.33,897.84489,2026-03-31 08:59:59.999,60236165.7141717,174041,260.15629,17440128.5051505,0
2026-03-31 09:00:00,66778.34,66924.33,65998.05,66124.99,1512.48446,2026-03-31 09:59:59.999,100534455.6949861,239700,619.46699,41195786.6725227,0
2026-03-31 10:00:00,66125.0,66471.08,66100.01,66363.38,788.27557,2026-03-31 10:59:59.999,52286554.1690158,145303,446.23322,29600794.3637268,0
2026-03-31 11:00:00,66363.38,66922.58,66240.14,66685.69,989.3859,2026-03-31 11:59:59.999,65932634.0742225,203458,585.61079,39041757.436585,0
2026-03-31 12:00:00,66685.69,66939.9,66520.71,66653.26,539.00678,2026-03-31 12:59:59.999,35968795.4261587,164024,249.72259,16669203.4198099,0
2026-03-31 13:00:00,66653.27,67412.11,66653.27,67302.29,1087.22021,2026-03-31 13:59:59.999,72908698.1179671,258227,516.73142,34659481.9590159,0
2026-03-31 14:00:00,67302.28,67767.87,66427.53,66587.45,1485.37387,2026-03-31 14:59:59.999,99828835.8254467,390117,615.24153,41366461.5220315,0
2026-03-31 15:00:00,66587.46,67283.25,66587.46,66736.8,1025.58837,2026-03-31 15:59:59.999,68683924.1528299,312283,471.74334,31592794.2434492,0
2026-03-31 16:00:00,66736.79,68030.19,66729.28,67665.83,1334.03651,2026-03-31 16:59:59.999,90073634.2336934,426038,791.73792,53466071.564717,0
2026-03-31 17:00:00,67665.83,68589.49,67403.81,67526.75,2195.81331,2026-03-31 17:59:59.999,149343648.7611285,448962,1202.7266,81809747.0254292,0
2026-03-31 18:00:00,67526.76,67947.98,67526.3,67854.05,426.40012,2026-03-31 18:59:59.999,28895375.3828124,185882,239.23889,16210906.2690055,0
2026-03-31 19:00:00,67854.04,68029.41,67716.35,67838.8,435.2447,2026-03-31 19:59:59.999,29547211.8770696,175714,226.51613,15378912.2771578,0
