trader_id,total_trades,winning_trades,losing_trades,win_ratio,total_profit,average_profit_on_wins,average_loss_on_losses,risk_reward_ratio,average_roi_on_wins,average_roi_on_losses,win_loss_roi_ratio,average_winning_duration,average_losing_duration,win_loss_holding_time_ratio,trade_frequency_score,profitable_flag,behavioral_alpha_score,behavioral_risk_score,risk_level,trader_class,total_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,profitability_probability,ml_prediction
btr0097,42,24,18,0.5714285714285714,617.9,34.90958333333334,12.218333333333332,2.8571477288228078,0.02101875,0.009057222222222223,2.320661841378887,498.46000000000004,320.3305555555555,1.5560800908783465,42,1,184.21503640518875,42.12701137142475,Medium Risk,Profitable disciplined trader,0.39717940695589093,0.01662589250265598,0.4889390219351537,1.3444222125629226,-0.07630227694154358,0.9944341982949578,Likely profitable
btr0128,60,40,20,0.6666666666666666,848.2099999999999,25.335500000000003,8.260500000000002,3.0670661582228673,0.01735425,0.008795500000000001,1.9730828264453413,495.35974999999996,360.588,1.373755504897556,60,1,181.9453879812829,45.186937513541274,Medium Risk,Profitable disciplined trader,0.6655744063805036,0.014213545981862903,0.6077066678286123,2.0529884309358195,-0.032581269922367956,0.9998280098280098,Likely profitable
btr0012,99,50,49,0.5050505050505051,966.7099999999999,31.2168,12.125102040816326,2.574559776479895,0.020380799999999998,0.008996734693877552,2.265355230922783,486.37800000000004,320.3287755102041,1.5183712397530345,99,1,171.79775781527712,51.79719389492634,Medium Risk,Profitable disciplined trader,0.7560472877352038,0.016686145170512333,0.3500151761070119,1.0428498748272337,-0.058169797288226306,0.985,Likely profitable
btr0009,39,24,15,0.6153846153846154,477.4699999999999,26.481666666666666,10.539333333333335,2.512651021569991,0.016312083333333335,0.008112666666666666,2.010693154737448,539.9479166666666,309.05800000000005,1.7470763308720905,39,1,170.31454294015575,42.34317833027188,Medium Risk,Profitable disciplined trader,0.30405778241107795,0.013447852338705117,0.514427772086531,2.3353378710585027,-0.033970281697889966,0.9994341982949578,Likely profitable
btr0089,68,35,33,0.5147058823529411,765.5000000000001,35.62285714285714,14.584848484848488,2.4424564423733335,0.02137285714285714,0.009893636363636361,2.160263057717804,512.5634285714286,359.7484848484848,1.4247827305994212,68,1,164.09318714372466,49.63137207859274,Medium Risk,Profitable disciplined trader,0.5066493387559432,0.017740240275203406,0.34945478012330927,1.3936465086013368,-0.10169748116184386,0.995,Likely profitable
btr0217,90,67,23,0.7444444444444445,1805.0,31.24701492537313,12.545652173913044,2.4906648528282167,0.01685805970149254,0.009862608695652173,1.7092901301989438,506.1683582089551,325.8060869565217,1.55358778878954,90,1,163.08934900499654,49.667973998477976,Medium Risk,Profitable disciplined trader,1.4311379956241161,0.014970358980415164,0.6699535032904272,1.6285865501816388,-0.01898000000000001,0.995,Likely profitable
btr0174,49,27,22,0.5510204081632653,452.63,26.508518518518525,11.959090909090907,2.216599800104172,0.019501851851851854,0.008509090909090909,2.2918842988287436,526.6774074074074,351.47272727272724,1.4984872695363618,49,1,162.80302276178713,46.55297595369746,Medium Risk,Profitable disciplined trader,0.3944610025473776,0.015484542031386292,0.4472531502736093,1.6005390480968071,-0.0407778231274563,0.9944341982949578,Likely profitable
btr0030,116,61,55,0.5258620689655172,1316.55,33.51524590163934,13.234181818181822,2.5324758539734065,0.019310000000000004,0.009498181818181817,2.0330206738131706,469.28999999999996,365.83400000000006,1.2827949288475098,116,1,161.81757846620962,56.92245044152434,Medium Risk,Profitable disciplined trader,0.8932308072683548,0.016472226690293933,0.34305916146672655,1.122057929097076,-0.06423157684787997,0.9985026737967914,Likely profitable
btr0050,55,39,16,0.7090909090909091,743.8000000000001,23.771025641025638,11.454374999999999,2.075279152378514,0.017423846153846154,0.008071875,2.1585872122457492,525.9989743589742,340.53125,1.544642303339192,55,1,160.66541670031432,45.07438473446703,Medium Risk,Profitable disciplined trader,0.720333615085134,0.01390830365787757,0.719491703450208,2.5610951584894406,-0.02068204320000003,0.9948280098280098,Likely profitable
btr0207,42,19,23,0.4523809523809524,321.79,37.591052631578954,17.062608695652173,2.2031245808946998,0.020972631578947368,0.009847391304347825,2.129765227232061,562.2652631578948,398.6647826086957,1.41037103773919,42,1,154.06486224515896,49.398949429767875,Medium Risk,Profitable disciplined trader,0.18052653641848093,0.01673821350871755,0.24464976491471174,0.8489982040101886,-0.05855350733378557,0.9498280098280099,Likely profitable
btr0060,62,46,16,0.7419354838709677,1225.7900000000002,32.16456521739131,15.86125,2.0278707679023604,0.01900608695652174,0.009833749999999999,1.9327405065739662,504.539347826087,344.41999999999996,1.4648956153129524,62,1,153.38613444724328,47.39734282877388,Medium Risk,Profitable disciplined trader,1.0263753179137005,0.014825428542367113,0.7799807171881233,2.6188824564784388,-0.02627528050000002,0.9948280098280098,Likely profitable
btr0150,72,50,22,0.6944444444444444,1238.3,31.713800000000003,15.790454545454544,2.0084159014364262,0.018839800000000004,0.010719545454545456,1.7575185514989613,519.9842,325.5754545454546,1.5971234708893063,72,1,148.98062622723975,49.90584641156754,Medium Risk,Profitable disciplined trader,1.0025341261362408,0.015407161973011053,0.6365726403706408,1.6871803072960116,-0.05219137438506343,1.0,Likely profitable
